Title,Image,Ingredients,Directions,Cuisine,Serving,Prep Time,Cook Time,Total Time
Budae Jjigae (Army Stew),korean_armystew,1 cup worth radish sprouts (or spinach$ watercress$ arugula) sliced;1 cup worth cabbage$ cut into bite size pieces;2 green onions$ cut into 1 inch pieces;2 green onions$ cut into 1 inch pieces;1/2 of packaged instant ramyeon;1/2 cup fermented kimchi$ chopped;1/2 of a medium onion$ sliced;4 ounces of Polish sausage$1/2 pound pork belly (or pork shoulder)$ cut into bite size pieces;1/2 pound pork belly (or pork shoulder)$ cut into bite size pieces;1 cup worth radish sprouts (or spinach;4 ounces of  spam$ sliced thinly;2 ounces of sweet potato starch noodles$ soaked in water for 30 minutes and drained;2 ounces of sweet potato starch noodles$ soaked in water for 30 minutes and drained; watercress;1/2 cup fermented kimchi$ chopped;1 cup worth cabbage$ cut into bite size pieces;4 ounces of  spam; sliced thinly;1/2 of packaged instant ramyeon;4 ounces of Polish sausage$ sliced;1/2 of a medium onion$ sliced; arugula),$1. Cook over medium high heat. Korean style is to cook at the table with a portable burner. Friends and family will be sitting around the pot; talking and laughing; and maybe drinking. You can take a bit of cooked sausage or the meat with your chopsticks as you wait for the broth to boil and the noodles to soften. If you don't have a tabletop burner; you can cook it on the stove away from the table. $2. When it starts boiling about 10 minutes later; stir and turn the ingredients over with tongs to cook evenly. $3. Serve right after the noodles and ramyeon have softened. Transfer some cooked stew to individual bowls and serve. Add more stock as the broth boils down.,Korean, , , , 
Dak Galbi (Korean Spicy Chicken Stir Fry),korean_dakgalbi,1/4 small cabbage (320g/0.7 pounds)$ shredded;1/2 small carrot (60g/2.1 ounces)$ diagonally sliced;500g /1.1 pounds chicken thigh fillets (you can use a whole chicken or chicken breast instead)$ cut into bite size pieces;1 Tbsp gochugaru (Korean chili flakes);3 Tbsp gochujang (Korean chili paste);Some cooking oil (2 to 3 Tbsp) - I used rice bran oil;1 tsp Korean curry powder;1 Tbsp minced garlic;1 tsp  minced ginger;10 Korean perilla leaves (35g/1.2 ounces)$ thinly sliced;18 fresh Korean rice cakes pieces (175g/ 6.1 ounces)$ separated$ if you use pre-packaged rice cakes$ separate them first then soak in warm water for 10 minutes before you use them.;1/2 small onion (35g/1.2 ounces)$ grated or minced;A few sprinkles of ground black pepper;2 Tbsp rice wine;1 Tbsp soy sauce;1 Tbsp raw sugar;1/2 medium sweet potato (180g/6.3 ounces)$ cut into long thick sticks (like English chips);MAIN: ;Marinade Sauce: ;;,$1. Combine all the marinade ingredients in a bowl and mix them well. Pour the sauce over the chopped chicken and marinate for at least 30 mins. (Though I strongly recommend marinating it for at least 4 hrs; and if you can afford more time; for overnight for better flavored chicken. However if you are really short of time; 30 mins is OK.)$2. Preheat a large skillet on medium high heat and once heated add some cooking oil. Put all the vegetables and rice cakes into the skillet and add the meat on top. Cook them on medium high heat for 3-4 mins. Then reduce the heat to medium to medium low and cook further until all is cooked (about 10-15 mins). During cooking; stir often to avoid food sticking onto the pan. You can cover with a lid to speed up the cooking process.$3. Serve with rice and other Korean side dishes (optional).,Korean, , , , 
Sundubu Jjigae,korean_sundubujjigae,3-4 banana prawns (80g/2.8 ounces)$ head$ shells and guts removed;1 egg;100g/3.5 ounces enoki mushrooms$ bottom 4-5 cm stem removed and rinsed briefly in cold running water;1 stalk of green onion (10g/0.4 ounces)$ thinly sliced;110g/3.9 ounces littleneck clams or pipis$ cleaned;2 small shiitake mushrooms (20g/ 0.7 ounces)$ cleaned$ stem removed and thinly sliced;350g/12 ounces Korean soft tofu (sundubu),$1. Start heating the pot on the stove over medium low heat and add the chili oil; chili powder; and garlic. Stir them well for about 1 min. Make sure not to burn the chili powder.$2. Add the clams and shrimps and stir quickly to coat them with the chili sauce. Add the fish sauce and soy sauce then stir.$3. Add the dried kelp and anchovy stock and boil it on medium-high heat until it starts to boil rapidly (2 to 3 mins).$4. Add the tofu; mushrooms; and egg and cook them for another 2 to 3 mins. Season with salt; if required.$5. Top up with the green onion; black pepper and sesame oil.  Serve hot with Korean rice and side dishes (banchan).,Korean, , , , 
Hotteok (Korean Sweet Pancakes),korean_sweetpancakes_hotteok, almond slices and sunflower seeds are also popular choices.);1/4 cup dark brown sugar;1/4 tsp cinnamon powder;Some cooking oil;1 tsp instant dry yeast;1/2 cup (125ml) lukewarm milk;2 Tbsp crushed nuts of your choice (I used walnuts. Peanuts;1/2 tsp fine sea salt;1 tsp white sugar;Fillings: (mix these well in a bowl);;;1 & 1/4 cup (157 g; 5.5 ounces) all purpose flour;Main: ,$1. Sieve through the flour into a large bowl then add the salt; sugar; yeast and milk. Mix them well into a dough and cover the bowl with plastic wrap. Ferment it at a comfortable room temperature until the dough doubles in size. (Mine took 1 hour at room temperature 27 C/80.6 F but it could vary depending on the effectiveness of your yeast and also your room temperature.)$2. Once the dough is raised; release the gas by punching the dough with your hands a few times. Cover with the wrap again and rest for another 20 mins.$3. When the dough is ready; put some cooking oil on your hands (for anti stick purpose) and separate the dough to allow 6 medium sized pancakes to be made.$4. Put one of the pieces of dough on your hand; flatten the dough with your hands so that you can add about 1 Tbsp size filling onto it. Once it's done; seal the dough by gathering the corners. Repeat this for the remaining dough.$5. Pre heat a frying pan on medium heat and once it's heated add a thin layer of cooking oil.$6. Place a dough (1 or more depending on size of your pan. If more; allow enough room to expand between the dough when pressed down) into the pan and cook it on medium heat until the bottom side is lightly golden brown (about 30 seconds). Flip it over and press the dough down with a solid turner or professional press. Cook until the bottom part is golden brown (about 1 min). Flip the pancake over one last time then reduce the heat to low. Cover the pan with a lid and cook until the sugar filing fully melts (about 1 min).  - It is still edible if you don't further cook with a lid on but not all the sugar filling will be melted.$7. Transfer the pancake onto a plate and repeat step 6 for the remaining dough. Enjoy hot!,Korean, , , , 
Bibimbap (Korean Mixed Rice with Meat and Assorted Vegetables),korean_bibimbap,1 tsp vinegar - I used apple vinegar;350g (0.8 pounds) mildly seasoned bean sprouts - (You don't have to use them up if you think it's too much but I love having lots of vegetables on my Bibimbap!);100g / 3.5 ounces beef mince (or other cuts);1 tsp sugar - I used brown sugar;120g (4.2 ounces) carrots (1 small);Some cooking oil to cook the meat$ mushroom$ carrots and eggs - I used rice bran oil.;3 or 4 eggs (depending on the serving portion);1/4 tsp minced garlic;2 Tbsp gochujang;Korean seasoned seaweed$ shredded (long thin cut);3 to 4 serving portions of steamed rice;1 Tbsp roasted sesame seeds;1/2 tsp fine sea salt (1/4 tsp each will be used when cooking shiitake mushroom and carrots);1 Tbsp sesame oil;1 Tbsp soy sauce;250g (0.6 pounds) mildly seasoned spinach;1 Tbsp sugar - I used raw sugar;1 Tbsp water;Bibimbap sauce: ;;;1 Tbsp sesame oil;;Vegetables and Other: ;100g (3.5 ounces) shiitake mushroom;Meat and Meat Sauce: ;1 tsp minced garlic,$Prepare and cook ingredients as below: $$1. For meat; mix the beef mince with the meat sauce listed above. Marinate the meat for about 30 mins while you are working on other ingredients to enhance the flavour. Add some cooking oil into a wok and cook the meat on medium high to high heat. It takes about 3 to 5 mins to thoroughly cook it.$2. Mix the Bibimbap sauce ingredients in a bowl.$3. Spinach and bean sprouts per linked recipe.$4. Rinse; peel and julienne the carrots. Add some cooking oil and 1/4 tsp of fine sea salt in a wok and cook the carrots on medium high to high heat for 2 to 3 mins.$5. Clean/rinse the shiitake mushrooms and thinly slice them. Add some cooking oil and 1/4 tsp of fine sea salt in a wok and cook the mushrooms on medium high to high heat until they are all cooked. (It takes 2 to 3 mins.)$6. Make fried eggs. (While sunny side up is common; you can make them per your preference.)$7. Put the rice into a bowl and add the meat; assorted vegetables; seasoned seaweed; Bibimbap sauce and the egg on top of the rice. Serve it.$8. Mix the ingredients well in the bowl and enjoy!,Korean,3-4, , , 
Okonomiyaki with prawns (Japanese Pancakes),japan_okonomiyaki,Avocado wedges$ Kewpie mayonnaise$ baby spinach & toasted white sesame seeds$ to serve;1 tsp baking powder;1/4 white cabbage$ finely shredded;1 cup (250ml) cold soda water;4 eggs$ lightly beaten;3 long green shallots$ thinly sliced$ plus extra to serve;2 tbs white (shiro) miso paste;20 medium green prawns$ peeled$ deveined$ halved horizontally;1/3 cup (80ml) sunflower oil;1 zucchini$ coarsely grated;1 1/2 cups (225g) plain flour,$1. Combine flour and baking powder in a large bowl. Make a well in the centre of the dry ingredients; add egg and miso paste; and gently whisk in soda water until a smooth batter forms. Add vegetables and prawns and stir to combine. Season.$2. Heat 1 tbs oil in a large frypan over medium heat. Working in batches; spoon 1/4 cup (60ml) of batter for each pancake into the pan and cook for 4 minutes each side until golden and cooked through. Transfer to a plate lined with paper towel and loosely cover with foil to keep warm. Repeat with remaining oil and batter.$3. Serve okonomoyaki warm with avocado wedges; a generous drizzle of Kewpie; baby spinach leaves; toasted sesame seeds and extra long green shallots.,Japan,4, , , 
Barbecued Salmon in Wasabi and Soy,japan_barbecued_salmon,1/2 cup (125g) brown sugar;80g unsalted butter$ chopped;1 tbs caster sugar;1/4 bunch each mint$ coriander & Thai basil$ leaves picked;1 Lebanese cucumber$ sliced lengthwise into wedges;2 1/2 tbs fish sauce;3 garlic cloves$ crushed;1 small (230g) green mango$ shredded (we used a julienne peeler);4 mixed baby heirloom radishes$ shaved (we used a mandoline);LIME DRESSING: ;1/2 cup (125ml) lime juice;2 tbs extra virgin olive oil;1 long red chili (optional)$ seeds removed$ finely chopped$ plus extra sliced to serve;4 x 220g skinless salmon fillets$ pin-boned;1 1/4 cup (310ml) soy sauce;2 1/2 tbs wasabi paste;Lime halves$ to serve;;WASABI & SOY MARINADE: ;;1/2 cup (125ml) light olive oil,$1. For the marinade; place all the ingredients in a small saucepan over medium heat and stir until sugar has dissolved. Transfer to a bowl and chill until cooled completely. Add salmon to the bowl; toss to combine and cover with plastic wrap. Chill for 3-4 hours; to marinate; turning occasionally; or if time permits; overnight.$2. Meanwhile; for the lime dressing; place all the ingredients in a small jar with a lid. Season to taste and shake well to combine. Set aside. You can adjust your balance of flavours with sweet; sour and salty; according to your preference.$3. Heat a large non-stick frypan over high heat. Add the oil and butter and when butter begins to foam; drain salmon well from the marinade then place in the frypan; skin-side up. Cook for 2-3 minutes until caramelised and deep golden. Turn and cook for a further 1-2 minutes until caramelised. Remove from the heat and rest salmon in pan for 5-6 minutes before serving.$4. To make the salad; place all remaining ingredients in a large bowl; add half of the dressing; season to taste and toss to combine.$5. Divide salad among plates and top with the salmon. Serve scattered with extra chilli and lime halves; alongside.,Japan,4, , , 
Agedashi Tofu with Black Pepper Broth,japan_agedashi_tofu,50g whole black peppercorns -crushed;1/4 cup (60ml) black vinegar (from specialty food shops and Asian grocers)";Shaved bonito to serve;1/2 cup (110g) caster sugar;100g kuzu (cooking starch from Asian grocers - substitute cornflour);8 eschalots -finely chopped;2 x 450g packets firm tofu (drained) cut into 5cm pieces;10 garlic cloves - finely chopped;10cm piece (50g) ginger - finely grated (we used a microplane);1/4 cup (60ml) grapeseed oil;Slice long green shallots to serve;"1/4 cup (60ml) kombu tsuyu (from Asian grocers - substitute soy sauce);3/4 cup (180ml) mirin;BLACK PEPPER BASE:;1/2 cup (125ml) soy sauce;Vegetable oil - to fry;2 tbs (40g) black pepper base (recipe below),$1. For the black pepper base; heat the grapeseed oil in a medium saucepan over medium-low heat. Add the eschalot; ginger and garlic; and cook; stirring frequently; for 8-10 minutes until softened. Add remaining ingredients and simmer gently; stirring occasionally; for 20-25 minutes until reduced by half. Set aside 2 tbs of black pepper base for this recipe. Cool remaining mixture; transfer to an airtight container and refrigerate or freeze for another use.$2. To make the black pepper broth; combine kombu tsuyu; 2 tbs reserved black pepper base (or to taste) and 400ml water in a medium saucepan. Stand for 12-15 minutes; then place over medium- high heat and bring to the boil. Turn off heat and stand for 30 minutes to infuse.$3. Meanwhile; half-fill a medium saucepan with vegetable oil. Place over high heat and heat to 170'C (a cube of bread will turn golden in 60 seconds when the oil is hot enough). Place kuzu and tofu in a bowl and toss gently to coat. In batches; fry tofu for 4-5 minutes until lightly golden and crisp. Remove using a slotted spoon and drain on paper towel. Season to taste.$4. Divide tofu among bowls and pour over broth. Scatter with shaved bonito and sliced long green shallot to serve.,Japan, , , , 
Edamame Shichimi,japan_edamame,500g frozen whole edamame$ thawed;1/4 cup (60ml) lemon juice;1 tsp seasoned nori sheets$ crumbled;1/4 cup (60ml) extra virgin olive oil$ plus extra to drizzle;1 tsp shichimi togarashi (spicy Japanese seasoning - from supermarkets);;LEMON DRESSING: ,$1. For the lemon dressing; place all ingredients in a small bowl; season to taste and whisk to combine.$2. To make the seasoning mixture; place the crumbled nori; togarashi and 2 tsp salt in a bowl and toss to combine.$3. Half-fill a medium saucepan with salted water. Place over high heat and bring to the boil. Add edamame and blanch for 30 seconds; refresh in iced water; then drain. Place edamame in a large bowl and drizzle with extra olive oil.$4. Preheat a lightly greased chargrill pan or barbecue to high. Grill edamame for 2-3 minutes until charred. Transfer to a bowl; add dressing and seasoning mixture to taste and toss to combine. Transfer to a large serving platter; scatter with extra seasoning mixture and serve immediately.,Japan, , , , 
Kylie Kwong's Sashimi with Chili-Lime Dressing,japan_snapper_sashimi,1 tsp caster sugar;2 tsp grapeseed oil or peanut oil;Juice of 1 lime;2 spring onions$ thinly sliced on an angle;1/2 tsp sesame oil;300g skinless sashimi-grade snapper fillet$ pin-boned;3 tsp light soy sauce;1 tsp dried chilli flakes,$1. To make the dressing; combine all the ingredients; except the snapper and spring onion; in a bowl and whisk to combine. Set aside until ready to use.$2. Using a sharp knife; very thinly slice snapper on the diagonal into 5mm-thick slices. Arrange snapper on plates; then drizzle with dressing and garnish with spring onion to serve.,Japan, , , , 
Bruschetta,bruschetta,6 basil leaves; 3 chopped garlic cloves; 3 TB olive oil;4 plum tomatoes,$1. Combine the ingredients and add salt to taste. $2. Top French bread slices with mixture.,Dessert, , , , 
Macaron,macaron,1 cup almond flour; 3 egg whites; 1/4 cup granulated sugar;1 3/4 cups powdered sugar; 1 teaspoon salt; 1/2 teaspoon vanilla extract,$1. Make the macarons: In the bowl of a food processor; combine the powdered sugar; almond flour; and 1/2 teaspoon of salt; and process on low speed; until extra fine. Sift the almond flour mixture through a fine-mesh sieve into a large bowl.$2. In a separate large bowl; beat the egg whites and the remaining 1/2 teaspoon of salt with an electric hand mixer until soft peaks form. Gradually add the granulated sugar until fully incorporated. Continue to beat until stiff peaks form (you should be able to turn the bowl upside down without anything falling out).$3. Add the vanilla and beat until incorporated. Add the food coloring and beat until just combined.$4. Add about ? of the sifted almond flour mixture at a time to the beaten egg whites and use a spatula to gently fold until combined. After the last addition of almond flour; continue to fold slowly until the batter falls into ribbons and you can make a figure 8 while holding the spatula up.$5. Transfer the macaron batter into a piping bag fitted with a round tip.$6. Place 4 dots of the batter in each corner of a rimmed baking sheet; and place a piece of parchment paper over it; using the batter to help adhere the parchment to the baking sheet.$7. Pipe the macarons onto the parchment paper in 1 1/2-inch (3-cm) circles; spacing at least 1-inch (2-cm) apart.$8. Tap the baking sheet on a flat surface 5 times to release any air bubbles.$9. Let the macarons sit at room temperature for 30 minutes to 1 hour; until dry to the touch.$10. Preheat the oven to 300?F (150?C).$11. Bake the macarons for 17 minutes; until the feet are well-risen and the macarons don't stick to the parchment paper.$12. Transfer the macarons to a wire rack to cool completely before filling.$13. Make the buttercream: In a large bowl; add the butter and beat with a mixer for 1 minute until light and fluffy. Sift in the powdered sugar and beat until fully incorporated. Add the vanilla and beat to combine. Add the cream; 1 tablespoon at a time; and beat to combine; until desired consistency is reached.$14. Transfer the buttercream to a piping bag fitted with a round tip.$15. Add a dollop of buttercream to one macaron shell. Top it with another macaron shell to create a sandwich. Repeat with remaining macaron shells and buttercream.$16. Place in an airtight container for 24 hours to "bloom".,Dessert, , , , 
Chocolate Mousse,mousse,3 tablespoons unsalted butter; 1/2 teaspoon cream of tartar; 3 large eggs; 1/2 cup heavy cream; 6 ounces semisweet chocolate; 1/4 cup sugar; 1/2 teaspoon vanilla extract,$1. Whip egg yolks and sugar: In medium mixing bowl using an electric hand mixer whip together egg yolks and granulated sugar on high speed until pale and fluffy; about 2 minutes.$2. Heat 3/4 cup cream: Warm 3/4 cup of the heavy cream in a 2-quart saucepan on the stovetop over low heat until hot.$3. Temper eggs with cream mixture: While whisking egg mixture slowly pour in warm cream mixture to temper egg yolks. Then pour combined egg yolk and cream mixture back into saucepan.$4. Cook mixture to 160 degrees: Cook over low heat; whisking constantly; until mixture thickens just slightly and reaches 160 degrees on an instant read thermometer. If you notice any clumps strain through a sieve and return to saucepan.$5. Melt in chocolate: Off heat add in chocolate; stir until melted.$6. Let cool to room temp: Pour mixture into a clean medium bowl; cover and chill; stirring about every 10-15 minutes until it reaches 70 degrees (or no longer warm); about 30-40 minutes total.$7. Whip remaining cream; fold into chocolate mixture: Whip remaining heavy cream until very stiff peaks form. Fold whipped cream into chocolate mixture until combined.$8. Divide mixture among dessert cups; chill: Pipe or spoon into dessert cups. Chill 2 hours. Top with sweetened whipped cream if desired and garnish with shaved or grated chocolate.,Dessert, , , , 
